del,del_nom,gou,gou_nom,reg,reg_nom,zon,zon_nom,cap_gou,Nahdha_2014,Nidaa_2014,Takatol_2014,Afek_2014,Tayar_2014,Jomhouri_2014,Jabha_2014
TS1110,Bab-Bhar,TS111,Tunis,TS11,Nord-est,TS1,Nord,1,3723,10071,93,772,663,309,1013
TS1111,Bab-Souika,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,3676,5274,64,492,445,183,346
TS1112,Le-Bardo,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,8285,16108,0,1636,1303,565,1272
TS1113,Carthage,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,2418,9986,0,612,290,228,392
TS1114,Cite-El-Khadra,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,3108,8197,0,732,495,212,417
TS1115,El-Menzah,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,2237,17907,0,1336,449,288,708
TS1116,El-Ouerdia,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,4175,4443,77,467,533,204,352
TS1117,Ettahrir,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,2733,3662,0,394,404,157,286
TS1118,El-Hrairia,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,10494,9162,155,836,1041,445,875
TS1119,Jebel-Jelloud,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,2349,2617,28,116,156,301,195
TS111A,El-Kabbaria,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,8775,8059,119,764,971,461,849
TS111B,La-Goulette,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,3213,10406,0,945,511,249,518
TS111C,La-Marsa,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,5794,23757,0,1469,714,620,985
TS111D,La-Medina,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,3042,4459,70,340,296,186,342
TS111E,El-Omrane-Superieur,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,6296,7940,0,768,800,321,695
TS111F,El-Omrane,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,3443,5735,0,391,358,185,310
TS111G,Sidi-El-Bechir,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,2952,3844,62,390,324,148,288
TS111H,Sidi-Hassine,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,7420,5882,89,345,369,347,599
TS111I,Essijoumi,TS111,Tunis,TS11,Nord-est,TS1,Nord,0,1887,1351,35,88,106,80,63
TS1120,Ariana-Ville,TS112,Ariana,TS11,Nord-est,TS1,Nord,1,8667,37712,366,2993,1394,1183,1442
TS1121,Ettadhamen,TS112,Ariana,TS11,Nord-est,TS1,Nord,0,6901,5599,95,275,494,208,375
TS1122,Kalaat-Landlous,TS112,Ariana,TS11,Nord-est,TS1,Nord,0,1951,2704,31,87,97,115,99
TS1123,Mnihla,TS112,Ariana,TS11,Nord-est,TS1,Nord,0,5828,5416,81,298,372,210,426
TS1124,Raoued,TS112,Ariana,TS11,Nord-est,TS1,Nord,0,8181,12448,189,1230,909,662,951
TS1125,Sidi-Thabet,TS112,Ariana,TS11,Nord-est,TS1,Nord,0,2223,2317,19,96,120,124,75
TS1126,La-Soukra,TS112,Ariana,TS11,Nord-est,TS1,Nord,0,8708,16573,254,1287,950,609,818
TS1130,Ben-Arous,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,1,3832,5088,89,363,551,321,588
TS1131,Bou-Mhel-El-Bassatine,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,3259,5921,97,475,525,372,556
TS1132,El-Mourouj,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,11246,13135,278,1343,1497,994,2106
TS1133,Ezzahra,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,3048,8171,93,609,486,413,784
TS1134,Fouchana,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,6886,5583,137,333,493,599,724
TS1135,Hammam-Chatt,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,3545,5240,78,492,516,357,737
TS1136,Hammam-Lif,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,4118,8528,116,477,472,315,641
TS1137,Mohamadia,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,6149,3819,74,269,330,345,509
TS1138,Megrine,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,2670,6244,59,475,472,311,544
TS1139,Mornag,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,5217,6490,145,454,437,436,565
TS113A,Nouvelle-Medina,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,5897,7093,89,649,749,483,827
TS113B,Rades,TS113,Ben Arous,TS11,Nord-est,TS1,Nord,0,5553,9047,122,838,698,739,953
TS1140,Borj-Amri,TS114,Manubah,TS11,Nord-est,TS1,Nord,1,1169,2070,31,59,58,65,83
TS1141,Douar-Hicher,TS114,Manubah,TS11,Nord-est,TS1,Nord,0,5384,5280,164,395,329,198,382
TS1142,El-Battan,TS114,Manubah,TS11,Nord-est,TS1,Nord,0,1238,1945,27,90,66,46,98
TS1143,jedaida,TS114,Manubah,TS11,Nord-est,TS1,Nord,0,3903,3560,82,157,183,124,251
TS1144,Manouba,TS114,Manubah,TS11,Nord-est,TS1,Nord,0,7384,11558,167,1353,1232,440,1026
TS1145,Mornaguia,TS114,Manubah,TS11,Nord-est,TS1,Nord,0,4205,3930,83,285,318,230,261
TS1146,Oued-Ellil,TS114,Manubah,TS11,Nord-est,TS1,Nord,0,6450,5605,146,410,492,233,590
TS1147,Tborba,TS114,Manubah,TS11,Nord-est,TS1,Nord,0,3331,4061,161,178,147,129,290
TS1150,Beni-Khalled,TS115,Nabeul,TS11,Nord-est,TS1,Nord,1,2402,6929,50,202,194,140,350
TS1151,Beni-Khiar,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,4210,8370,142,656,453,604,375
TS1152,Bou-Argoub,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,2021,5110,51,148,106,151,347
TS1153,Dar-Chaabane-El-Fehri,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,4555,8087,161,1069,584,267,400
TS1154,El-Mida,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,1298,3009,54,798,61,58,307
TS1155,Grombalia,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,5088,10219,78,390,342,241,841
TS1156,Hammam-El-Ghezaz,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,1260,2321,39,109,56,66,278
TS1157,Hammamet,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,6285,18333,155,1652,481,594,763
TS1158,El-Haouaria,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,1901,5889,118,240,125,153,694
TS1159,Korba,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,4678,9118,302,907,378,327,408
TS115A,Menzel-Bouzelfa,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,2264,8163,111,254,185,140,363
TS115B,Menzel-Temime,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,3290,8305,122,625,445,255,1986
TS115C,Nabeul,TS115,Nabeul,TS11,Nord-est,TS1,Nord,0,4959,18928,125,1733,602,403,754
